Alabama;Tallahassee;French Camp Turnpike Road;7
Alabama;Springfield;East Calle Primera;43
Alabama;Annapolis;San Simeon;31
Alabama;Springfield;Jean de la Fontaine;55
Alabama;Boston;Lindbergh Blvd;53
Alabama;Austin;Grandview Drive;19
Alabama;Montpelier;North Preisker Lane;26
Alabama;Boston;Redwood Highway;92
Alaska;Atlanta;North Ventu Park Road;76
Alaska;Boise;Fontaine Road;46
Alaska;Tallahassee;Newbury Road;90
Alaska;Lincoln;Calle Real;86
Alaska;Topeka;Steele Lane;33
Alaska;Salem;Santa Ana Freeway;97
Alaska;Salem;Newbury Road;23
Alaska;Salt Lake City;Lake Tahoe Blvd.;88
Alaska;Hartford;Hutchinson Rd;65
Alaska;Frankfort;South Roosevelt Drive;57
Alaska;Saint Paul;Timberlane Drive;25
Alaska;Springfield;East Calle Primera;96
Alaska;Dover;Erringer Road;47
Arizona;Phoenix;Tully Road East;50
Arizona;Salem;Camelback Rd;79
Arizona;Salem;Lindbergh Blvd;27
Arizona;Annapolis;San Ysidro Blvd;84
Arizona;Denver;French Camp Turnpike Road;20
Arizona;Baton Rouge;W. Russell St.;86
Arizona;Juneau;Steele Lane;66
Arizona;Topeka;Milpas Street;26
Arizona;Concord;Lake Tahoe Blvd.;40
Arizona;Jefferson City;Santa Rosa North;48
Arizona;Carson City;North Atherton Street;47
Arizona;Lincoln;North Preisker Lane;61
Arizona;Oklahoma City;French Camp Turnpike Road;71
Arizona;Columbia;Greenwood Road;40
Arizona;Salem;Redwood Highway;27
Arizona;Little Rock;Timberlane Drive;63
Arizona;Trenton;Tanger Blvd;67
Arkansas;Annapolis;Bowles Avenue;100
Arkansas;Columbus;Fairview Avenue;17
Arkansas;Salt Lake City;North Atherton Street;86
Arkansas;Topeka;Apalachee Parkway;1
Arkansas;Springfield;Camelback Rd;96
Arkansas;Oklahoma City;Santa Rosa South;34
Arkansas;Carson City;Burnett Road;53
Arkansas;Salem;Tully Road East;21
Arkansas;Indianapolis;Bayshore Freeway;55
Arkansas;Oklahoma City;Richmond Hill;99
Arkansas;Augusta;Katella Avenue;11
Arkansas;Concord;Santa Rosa North;41
Arkansas;Indianapolis;Carpinteria South;40
Arkansas;Indianapolis;Bailard Avenue;75
